anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2021,157,112,5,KILOGRAMOS
2021,157,89,8,KILOGRAMOS
2021,157,164,100,KILOGRAMOS
2021,157,112,5,KILOGRAMOS
2021,157,99,15,KILOGRAMOS
2021,157,240,15,KILOGRAMOS
2021,157,84,40,KILOGRAMOS
2021,157,131,120,KILOGRAMOS
2021,157,99,14,KILOGRAMOS
2021,157,133,20,KILOGRAMOS
2021,157,160,3,KILOGRAMOS
2021,157,256,0.80000001,KILOGRAMOS
2021,157,189,10,KILOGRAMOS
2021,157,136,60,KILOGRAMOS
2021,157,223,5,KILOGRAMOS
2021,157,99,5,KILOGRAMOS
2021,157,203,250,KILOGRAMOS
2021,157,193,2.5,KILOGRAMOS
2021,157,146,30,KILOGRAMOS
2021,157,108,7,KILOGRAMOS
2021,157,156,80,KILOGRAMOS
2021,157,274,2,KILOGRAMOS
2021,157,225,50,KILOGRAMOS
2021,157,111,20,KILOGRAMOS
2021,157,106,50,KILOGRAMOS
2021,157,125,10,KILOGRAMOS
2021,157,205,1,KILOGRAMOS
2017,157,100,1500,KILOGRAMOS
2018,157,98,1500,KILOGRAMOS
2019,157,90,1500,KILOGRAMOS
2019,157,163,30,KILOGRAMOS
2019,157,102,30,KILOGRAMOS
2020,157,133,80,KILOGRAMOS
2020,157,118,80,KILOGRAMOS
2020,157,117,60,KILOGRAMOS
2020,157,176,2,KILOGRAMOS
2021,157,163,2,KILOGRAMOS
2021,157,128,48,KILOGRAMOS
2021,157,127,108,KILOGRAMOS
2021,157,125,108,KILOGRAMOS
2021,157,115,108,KILOGRAMOS
2021,157,138,108,KILOGRAMOS
2021,157,196,10,KILOGRAMOS
2021,157,136,30,KILOGRAMOS
2021,157,162,108,KILOGRAMOS
2021,157,87,108,KILOGRAMOS
